Complexity metrics,Sat, 28 Mar 2026 14:21:21 EDT
Method,CogC,ev(G),iv(G),v(G)
"com.university.project.legendsofswordandwand.battle.ability.decorator.DoubleEffectDecorator.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",0,1,1,1
com.university.project.legendsofswordandwand.battle.ability.decorator.SelfHealBeforeAttackDecorator.SelfHealBeforeAttackDecorator(Ability),0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.decorator.SelfHealBeforeAttackDecorator.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.decorator.StunDecorator.StunDecorator(Ability, Random)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.decorator.StunDecorator.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",2,1,4,4
com.university.project.legendsofswordandwand.battle.ability.mage.ReplenishAbility.ReplenishAbility(HybridClass),0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.mage.ReplenishAbility.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",4,1,2,4
com.university.project.legendsofswordandwand.battle.ability.mage.ReplenishAbility.getManaCost(),1,1,1,2
"com.university.project.legendsofswordandwand.battle.ability.order.FireShieldAbility.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",4,1,3,3
com.university.project.legendsofswordandwand.battle.ability.order.FireShieldAbility.getManaCost(),0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.order.HealAbility.HealAbility(HybridClass, double)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.order.HealAbility.applyHeal(HeroSnapshot, double, BattleState)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.order.HealAbility.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",2,1,2,2
com.university.project.legendsofswordandwand.battle.ability.order.HealAbility.getManaCost(),0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.order.ProtectAbility.ProtectAbility(HybridClass, double)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.order.ProtectAbility.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",4,1,3,3
com.university.project.legendsofswordandwand.battle.ability.order.ProtectAbility.getManaCost(),0,1,1,1
com.university.project.legendsofswordandwand.battle.ability.warrior.BerserkerAbility.BerserkerAbility(),0,1,1,1
"com.university.project.legendsofswordandwand.battle.ability.warrior.BerserkerAbility.execute(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState)",1,2,1,2
com.university.project.legendsofswordandwand.battle.ability.warrior.BerserkerAbility.getManaCost(),0,1,1,1
com.university.project.legendsofswordandwand.battle.initializer.BattleInitializer.initialize(),3,1,3,3
"com.university.project.legendsofswordandwand.battle.initializer.PvEBattleInitializer.PvEBattleInitializer(Long, int, IPartyManagementService, EnemyGenerator)",0,1,1,1
com.university.project.legendsofswordandwand.battle.initializer.PvEBattleInitializer.buildEnemyUnits(),1,1,2,2
com.university.project.legendsofswordandwand.battle.initializer.PvEBattleInitializer.buildPlayerUnits(),3,1,3,3
com.university.project.legendsofswordandwand.battle.initializer.PvEBattleInitializer.onBattleEnd(BattleState),0,1,1,1
"com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer.PvPBattleInitializer(Party, Party, Long, UserRepository)",0,1,1,1
com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer.buildEnemyUnits(),3,1,3,3
com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer.buildPlayerUnits(),3,1,3,3
com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer.onBattleEnd(BattleState),2,1,3,3
com.university.project.legendsofswordandwand.battle.initializer.PvPBattleInitializer.restoreParty(Party),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.ChaosBonusStrategy.applyLevelBonus(Hero),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.ChaosBonusStrategy.getHeroClass(),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.MageBonusStrategy.applyLevelBonus(Hero),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.MageBonusStrategy.getHeroClass(),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.OrderBonusStrategy.applyLevelBonus(Hero),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.OrderBonusStrategy.getHeroClass(),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.WarriorBonusStrategy.applyLevelBonus(Hero),0,1,1,1
com.university.project.legendsofswordandwand.battle.strategy.WarriorBonusStrategy.getHeroClass(),0,1,1,1
com.university.project.legendsofswordandwand.config.SecurityConfig.authenticationManager(AuthenticationConfiguration),0,1,1,1
com.university.project.legendsofswordandwand.config.SecurityConfig.authenticationProvider(),0,1,1,1
com.university.project.legendsofswordandwand.config.SecurityConfig.filterChain(HttpSecurity),0,1,1,1
com.university.project.legendsofswordandwand.config.SecurityConfig.passwordEncoder(),0,1,1,1
com.university.project.legendsofswordandwand.controller.AuthController.loginPage(),0,1,1,1
"com.university.project.legendsofswordandwand.controller.AuthController.logoutCheck(HttpSession, RedirectAttributes)",2,2,3,3
"com.university.project.legendsofswordandwand.controller.AuthController.register(RegisterRequest, RedirectAttributes)",1,1,2,2
com.university.project.legendsofswordandwand.controller.AuthController.registerPage(),0,1,1,1
"com.university.project.legendsofswordandwand.controller.BattleController.action(Authentication, HttpSession, ActionType, Long, Integer)",10,3,10,10
"com.university.project.legendsofswordandwand.controller.BattleController.battlePage(Authentication, HttpSession, Model)",11,2,9,11
"com.university.project.legendsofswordandwand.controller.BattleController.continueCampaign(Authentication, HttpSession)",9,6,6,8
"com.university.project.legendsofswordandwand.controller.BattleController.forfeit(Authentication, HttpSession)",3,3,2,4
"com.university.project.legendsofswordandwand.controller.BattleController.getState(Authentication, HttpSession)",2,3,3,3
"com.university.project.legendsofswordandwand.controller.BattleController.result(Authentication, Model, HttpSession)",15,3,14,16
com.university.project.legendsofswordandwand.controller.BattleController.toDto(BattleState),1,1,2,2
com.university.project.legendsofswordandwand.controller.BattleController.unitDto(BattleUnit),3,1,4,4
com.university.project.legendsofswordandwand.controller.CampaignController.abandonCampaign(Authentication),2,2,1,3
"com.university.project.legendsofswordandwand.controller.CampaignController.campaignPage(Authentication, Model)",2,2,1,3
"com.university.project.legendsofswordandwand.controller.CampaignController.completePage(Authentication, Model)",2,2,1,3
com.university.project.legendsofswordandwand.controller.CampaignController.discardParty(),0,1,1,1
"com.university.project.legendsofswordandwand.controller.CampaignController.exitCampaign(Authentication, RedirectAttributes)",4,3,4,5
"com.university.project.legendsofswordandwand.controller.CampaignController.levelUp(Authentication, Long, HeroClass, String, RedirectAttributes)",2,2,2,3
com.university.project.legendsofswordandwand.controller.CampaignController.newCampaignPage(Authentication),1,2,1,2
com.university.project.legendsofswordandwand.controller.CampaignController.nextRoom(Authentication),5,3,3,6
"com.university.project.legendsofswordandwand.controller.CampaignController.replaceParty(Authentication, Long, Long)",2,2,1,3
"com.university.project.legendsofswordandwand.controller.CampaignController.saveParty(Authentication, Long, Model)",2,2,2,3
"com.university.project.legendsofswordandwand.controller.CampaignController.startCampaign(Authentication, String, HeroClass, Model)",4,3,4,5
"com.university.project.legendsofswordandwand.controller.CampaignController.useItem(Authentication, Long, Long, RedirectAttributes)",2,2,2,3
"com.university.project.legendsofswordandwand.controller.DashboardController.dashboardPage(Authentication, Model)",1,2,1,2
"com.university.project.legendsofswordandwand.controller.InnController.buyItem(Authentication, Long, RedirectAttributes)",4,2,3,4
"com.university.project.legendsofswordandwand.controller.InnController.continueFromInn(Authentication, HttpSession)",4,2,2,4
"com.university.project.legendsofswordandwand.controller.InnController.innPage(Authentication, Model, HttpSession)",9,3,7,10
"com.university.project.legendsofswordandwand.controller.InnController.recruitHero(Authentication, Long, HttpSession, RedirectAttributes)",3,2,3,4
"com.university.project.legendsofswordandwand.controller.ProfileController.profilePage(Authentication, Model)",1,2,1,2
"com.university.project.legendsofswordandwand.controller.PvPController.acceptInvite(Long, Authentication, Model)",1,2,1,2
"com.university.project.legendsofswordandwand.controller.PvPController.pvpPage(Authentication, Model)",1,2,1,2
"com.university.project.legendsofswordandwand.controller.PvPController.sendInvite(Authentication, String, RedirectAttributes)",2,2,2,3
"com.university.project.legendsofswordandwand.controller.PvPController.startBattle(Long, Long, Long, int, Authentication, HttpSession, Model, ...)",3,3,3,4
"com.university.project.legendsofswordandwand.controller.RankingsController.rankingsPage(Authentication, Model)",1,2,1,2
"com.university.project.legendsofswordandwand.model.Campaign.Campaign(User, Party, int, boolean)",0,1,1,1
"com.university.project.legendsofswordandwand.model.Hero.Hero(String, HeroClass, Party)",0,1,1,1
com.university.project.legendsofswordandwand.model.Inventory.Inventory(Party),0,1,1,1
"com.university.project.legendsofswordandwand.model.Item.Item(String, int, int, int, boolean)",0,1,1,1
com.university.project.legendsofswordandwand.model.Item.bread(),0,1,1,1
com.university.project.legendsofswordandwand.model.Item.cheese(),0,1,1,1
com.university.project.legendsofswordandwand.model.Item.elixir(),0,1,1,1
