Complexity metrics,Sat, 28 Mar 2026 14:21:21 EDT
Method,CogC,ev(G),iv(G),v(G)
com.university.project.legendsofswordandwand.dto.response.HallOfFameEntry,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.ProfileInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.ProfileInfo.CampaignResultInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.ProfileInfo.HeroInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.ProfileInfo.PartyInfo,n/a,n/a,0
com.university.project.legendsofswordandwand.dto.response.PvPStandingEntry,n/a,n/a,0
com.university.project.legendsofswordandwand.model.Campaign,1.00,1,1
com.university.project.legendsofswordandwand.model.Hero,1.00,1,1
com.university.project.legendsofswordandwand.model.Inventory,1.00,1,1
com.university.project.legendsofswordandwand.model.Item,1.00,1,8
com.university.project.legendsofswordandwand.model.Party,1.00,1,3
com.university.project.legendsofswordandwand.model.PvPInvitation,1.00,1,1
com.university.project.legendsofswordandwand.model.User,1.00,1,1
com.university.project.legendsofswordandwand.model.enums.ActionType,n/a,n/a,0
com.university.project.legendsofswordandwand.model.enums.BattleStatus,n/a,n/a,0
com.university.project.legendsofswordandwand.model.enums.HeroClass,n/a,n/a,0
com.university.project.legendsofswordandwand.model.enums.HybridClass,n/a,n/a,0
com.university.project.legendsofswordandwand.model.enums.InvitationStatus,n/a,n/a,0
com.university.project.legendsofswordandwand.model.enums.RoomType,n/a,n/a,0
com.university.project.legendsofswordandwand.service.auth.impl.AuthServiceImpl,2.00,2,2
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl,3.67,10,55
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl,2.43,5,17
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl,1.57,5,11
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl,1.30,2,13
com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl,1.56,6,14
com.university.project.legendsofswordandwand.service.inventory.impl.InventoryServiceImpl,2.33,4,7
com.university.project.legendsofswordandwand.service.party.impl.PartyManagementServiceImpl,1.83,6,11
com.university.project.legendsofswordandwand.service.party.impl.PartyServiceImpl,1.00,1,2
com.university.project.legendsofswordandwand.service.pvp.impl.PvPServiceImpl,2.50,4,5
com.university.project.legendsofswordandwand.service.security.CustomUserDetailsService,1.00,1,1
com.university.project.legendsofswordandwand.service.user.impl.ProfileServiceImpl,1.80,3,9
com.university.project.legendsofswordandwand.service.user.impl.UserServiceImpl,3.00,5,6

Package,v(G)avg,v(G)tot
com.university.project.legendsofswordandwand,1.12,9
com.university.project.legendsofswordandwand.battle,2.03,71
com.university.project.legendsofswordandwand.battle.ability,3.67,22
com.university.project.legendsofswordandwand.battle.ability.chaos,2.83,17
com.university.project.legendsofswordandwand.battle.ability.decorator,1.33,12
com.university.project.legendsofswordandwand.battle.ability.mage,2.33,7
com.university.project.legendsofswordandwand.battle.ability.order,1.56,14
com.university.project.legendsofswordandwand.battle.ability.warrior,1.33,4
com.university.project.legendsofswordandwand.battle.initializer,2.10,21
com.university.project.legendsofswordandwand.battle.strategy,1.00,8
com.university.project.legendsofswordandwand.config,1.00,4
com.university.project.legendsofswordandwand.controller,4.11,144
com.university.project.legendsofswordandwand.model,1.00,16
com.university.project.legendsofswordandwand.service.auth.impl,2.00,2
com.university.project.legendsofswordandwand.service.battle.impl,4.23,93
com.university.project.legendsofswordandwand.service.campaign.impl,1.47,25
com.university.project.legendsofswordandwand.service.hero.impl,3.00,27
com.university.project.legendsofswordandwand.service.inventory.impl,2.67,8
com.university.project.legendsofswordandwand.service.party.impl,1.88,15
com.university.project.legendsofswordandwand.service.pvp.impl,2.50,5
com.university.project.legendsofswordandwand.service.security,1.00,1
com.university.project.legendsofswordandwand.service.user.impl,2.14,15

Module,v(G)avg,v(G)tot
LegendsOfSwordAndWand,2.43,540

Project,v(G)avg,v(G)tot
project,2.43,540

